TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:29:21
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
481.3995,175.5
482.0378,174
482.6761,174
483.3141,174
483.9521,174
484.5899,175
485.2276,174.5
485.8651,174.5
486.5025,174.5
487.1398,174
487.7769,173
488.4140,173
489.0508,173.5
489.6876,174
490.3242,173.5
490.9607,175.5
491.5970,174
492.2333,175
492.8694,173.5
493.5053,175
494.1411,173
494.7768,175.5
495.4124,175
496.0478,174.5
496.6831,174
497.3182,174.5
497.9533,174
498.5882,174.5
499.2229,174
499.8576,174.5
500.4921,173.5
501.1264,174.5
501.7607,175
502.3947,174
503.0287,174.5
503.6626,174
504.2963,175
504.9298,174.5
505.5633,175
506.1966,174.5
506.8298,175
507.4628,176.5
508.0957,175
508.7285,174
509.3611,176
509.9937,175.5
510.6261,174.5
511.2583,174
511.8904,175.5
512.5224,174.5
513.1543,176.5
513.7860,176.5
514.4176,176.5
515.0491,175.5
515.6804,176.5
516.3116,175
516.9427,175
517.5736,176
518.2044,174.5
518.8351,176
519.4656,176
520.0960,176
520.7263,174.5
521.3564,175.5
521.9865,175.5
522.6163,175
523.2461,174.5
523.8757,174.5
524.5052,176.5
525.1346,175.5
525.7638,174.5
526.3929,174
527.0219,174
527.6507,173.5
528.2794,174.5
528.9080,175
529.5364,174
530.1647,175
530.7929,174
531.4210,174.5
532.0488,173.5
532.6766,176
533.3043,174.5
533.9318,174.5
534.5592,174.5
535.1865,174
535.8136,174
536.4406,174
537.0674,172.5
537.6942,176.5
538.3208,173.5
538.9473,173
539.5736,174.5
540.1998,174.5
540.8259,174
541.4518,174.5
542.0777,174
542.7034,173.5
543.3289,174.5
543.9543,173.5
544.5797,174
545.2048,174.5
545.8299,175.5
546.4548,173
547.0795,175
547.7042,174.5
548.3287,173.5
548.9531,174.5
549.5773,174.5
550.2015,173
550.8254,173.5
551.4493,174
552.0731,173
552.6967,175
553.3201,175
553.9435,174.5
554.5667,174
555.1898,174.5
555.8127,174
556.4355,174.5
557.0582,174.5
557.6808,174.5
558.3032,174
558.9255,173.5
559.5477,175
560.1697,175
560.7916,174
561.4134,176.5
562.0350,175
562.6566,175
563.2780,176
563.8992,176
564.5203,175
565.1414,176.5
565.7622,176.5
566.3829,176
567.0035,177.5
567.6240,177
568.2444,176.5
568.8646,174
569.4847,177.5
570.1047,178
570.7245,176
571.3442,178
571.9637,178.5
572.5832,177.5
573.2025,177
573.8217,179
574.4407,179
575.0597,178.5
575.6785,177.5
576.2971,177
576.9156,179
577.5341,178.5
578.1523,178
578.7705,178.5
579.3885,178.5
580.0064,179.5
580.6241,180.5
581.2418,179
581.8593,180
582.4766,180
583.0939,181
583.7110,180.5
584.3280,181
584.9448,180.5
585.5616,180
586.1782,178.5
586.7946,180
587.4109,179.5
588.0272,179.5
588.6432,179.5
589.2592,179
589.8750,179.5
590.4907,180
591.1063,179
591.7217,180.5
592.3370,180
592.9522,179
593.5672,179.5
594.1821,180.5
594.7969,179
595.4116,179.5
596.0261,180
596.6405,181.5
597.2548,181
597.8690,179.5
598.4830,179.5
599.0969,180
599.7106,179.5
600.3242,181.5
600.9377,179.5
601.5511,179.5
602.1644,179.5
602.7775,178
603.3904,178
604.0033,177.5
604.6160,177
605.2286,176.5
605.8411,177
606.4535,176
607.0657,176.5
607.6778,177
608.2897,175
608.9016,176
609.5132,175
610.1248,175
610.7363,174
611.3476,174
611.9588,176
612.5699,174
613.1808,174.5
613.7916,174.5
614.4023,174.5
615.0128,174
615.6232,173.5
616.2335,173.5
616.8437,173.5
617.4537,175
618.0637,174.5
618.6734,174
619.2831,174
619.8926,174
620.5020,174
621.1113,173.5
621.7204,174.5
622.3294,173
622.9383,174.5
623.5471,174.5
624.1557,173.5
624.7642,174.5
625.3726,173
625.9808,174
626.5889,174.5
627.1969,172.5
627.8048,173.5
628.4125,174.5
629.0201,173.5
629.6276,173
630.2350,172.5
630.8422,172.5
631.4493,174
632.0563,174.5
632.6631,174
633.2698,174.5
633.8764,173.093
634.4828,173.093
635.0892,175
635.6954,174
636.3015,173
636.9074,173.5
637.5132,173
638.1190,173.5
638.7245,175
639.3300,175
639.9352,175
640.5405,173.5
641.1455,173.5
641.7504,173.5
642.3552,173.5
642.9599,174
643.5645,173
644.1689,173.5
644.7732,174
645.3774,174
645.9814,174.5
646.5853,175
647.1891,174
647.7928,173.5
648.3963,174.5
648.9997,174.5
649.6030,174
650.2062,175.5
650.8092,174.5
651.4120,174.5
652.0148,174.5
652.6175,174
653.2200,175.5
653.8224,173.5
654.4247,174
655.0268,172.5
655.6288,173
656.2307,174
656.8325,174.5
657.4341,173
658.0356,173.5
658.6370,173.5
659.2382,176
659.8394,173.5
660.4404,175
661.0413,174
661.6420,173
662.2426,173.5
662.8431,174.5
663.4435,174
664.0437,172.5
664.6439,173
665.2438,174
665.8437,173.5
666.4434,174
667.0430,174
667.6425,173.5
