TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,25/06/19
TIME,17:36:41
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.48231
MAXY,     4.04303
MINY,     0.03693
XYDATA
1115.6182,0.513677
1116.1002,0.49579
1116.5824,0.479233
1117.0645,0.46392
1117.5466,0.449767
1118.0287,0.436679
1118.5109,0.424556
1118.9929,0.413299
1119.4751,0.402822
1119.9572,0.393055
1120.4393,0.383941
1120.9214,0.375432
1121.4036,0.367484
1121.8856,0.360049
1122.3678,0.353085
1122.8499,0.34655
1123.3320,0.340407
1123.8141,0.334622
1124.2963,0.329167
1124.7783,0.324013
1125.2605,0.319139
1125.7426,0.314527
1126.2247,0.310164
1126.7068,0.306036
1127.1890,0.302128
1127.6710,0.298424
1128.1532,0.294908
1128.6353,0.291564
1129.1174,0.288376
1129.5995,0.285333
1130.0817,0.282423
1130.5637,0.279643
1131.0459,0.276994
1131.5280,0.274482
1132.0101,0.272114
1132.4922,0.269887
1132.9744,0.267792
1133.4564,0.265809
1133.9386,0.263918
1134.4207,0.262105
1134.9028,0.260373
1135.3849,0.258733
1135.8671,0.257203
1136.3491,0.255795
1136.8313,0.2545
1137.3134,0.253296
1137.7955,0.252155
1138.2776,0.25106
1138.7598,0.250017
1139.2418,0.249055
1139.7240,0.24821
1140.2061,0.247513
1140.6882,0.246968
1141.1703,0.246559
1141.6525,0.246258
1142.1345,0.246037
1142.6167,0.245887
1143.0988,0.245813
1143.5809,0.245829
1144.0630,0.245949
1144.5452,0.246182
1145.0272,0.246523
1145.5094,0.24696
1145.9915,0.247473
1146.4736,0.248038
1146.9557,0.248634
1147.4379,0.249243
1147.9199,0.24985
1148.4021,0.250436
1148.8842,0.250974
1149.3663,0.251431
1149.8484,0.251768
1150.3306,0.25195
1150.8126,0.251949
1151.2948,0.251744
1151.7769,0.251315
1152.2590,0.250644
1152.7411,0.249713
1153.2233,0.248512
1153.7053,0.247049
1154.1875,0.245345
1154.6696,0.243435
1155.1517,0.241362
1155.6338,0.239165
1156.1160,0.236879
1156.5980,0.234533
1157.0802,0.232152
1157.5623,0.229752
1158.0444,0.22735
1158.5265,0.22496
1159.0087,0.222602
1159.4907,0.2203
1159.9729,0.218079
1160.4550,0.215957
1160.9371,0.213937
1161.4192,0.21201
1161.9014,0.210162
1162.3834,0.208379
1162.8656,0.20666
1163.3477,0.205013
1163.8298,0.203451
1164.3119,0.201984
1164.7941,0.20061
1165.2761,0.199322
1165.7583,0.198111
1166.2404,0.196969
1166.7225,0.195895
1167.2046,0.194888
1167.6868,0.193946
1168.1688,0.193061
1168.6510,0.192224
1169.1331,0.191425
1169.6152,0.190657
1170.0973,0.189916
1170.5795,0.189198
1171.0615,0.188504
1171.5437,0.187834
1172.0258,0.187196
1172.5079,0.1866
1172.9900,0.186053
1173.4722,0.18556
1173.9542,0.185116
1174.4364,0.184714
1174.9185,0.184341
1175.4006,0.183991
1175.8827,0.183661
1176.3649,0.183352
1176.8469,0.183065
1177.3291,0.182798
1177.8112,0.182545
1178.2933,0.182298
1178.7754,0.182055
1179.2576,0.181811
1179.7396,0.181561
1180.2218,0.181295
1180.7039,0.181002
1181.1860,0.180674
1181.6681,0.180312
1182.1503,0.179921
1182.6323,0.179513
1183.1145,0.179093
1183.5966,0.178659
1184.0787,0.1782
1184.5608,0.177705
1185.0430,0.177169
1185.5250,0.176594
1186.0072,0.175988
1186.4893,0.175362
1186.9714,0.174723
1187.4535,0.174076
1187.9357,0.173424
1188.4177,0.172775
1188.8999,0.172131
1189.3820,0.171493
1189.8641,0.170858
1190.3462,0.17022
1190.8284,0.169577
1191.3104,0.168936
1191.7926,0.168305
1192.2747,0.167697
1192.7568,0.167118
1193.2389,0.166564
1193.7211,0.166032
1194.2031,0.165516
1194.6853,0.165015
1195.1674,0.164532
1195.6495,0.164069
1196.1316,0.163626
1196.6138,0.1632
1197.0958,0.162793
1197.5780,0.162408
1198.0601,0.162057
1198.5422,0.161745
1199.0243,0.161479
1199.5065,0.161254
1199.9885,0.161064
1200.4707,0.160899
1200.9528,0.160753
1201.4349,0.160619
1201.9170,0.160495
1202.3992,0.160381
1202.8812,0.160276
1203.3634,0.160185
1203.8455,0.160112
1204.3276,0.160063
