TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,13:28:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
1212.6376,295
1213.6401,292
1214.6426,295
1215.6449,297
1216.6469,296
1217.6487,294
1218.6503,289
1219.6516,292
1220.6528,294
1221.6538,299
1222.6547,297
1223.6552,298
1224.6555,293
1225.6556,299
1226.6556,295
1227.6554,301
1228.6549,302
1229.6542,294
1230.6533,305
1231.6522,301
1232.6509,300
1233.6494,308
1234.6477,299
1235.6458,299
1236.6437,301
1237.6414,302
1238.6388,307
1239.6360,307
1240.6331,302
1241.6299,303
1242.6266,299
1243.6230,300
1244.6193,302
1245.6152,303
1246.6111,299
1247.6067,303
1248.6021,298
1249.5972,301
1250.5922,299
1251.5870,304
1252.5815,299
1253.5759,307
1254.5701,306
1255.5641,306
1256.5577,311
1257.5514,311
1258.5447,315
1259.5378,312
1260.5308,312
1261.5234,320
1262.5160,329
1263.5083,333
1264.5004,329
1265.4923,336
1266.4840,346.5
1267.4755,357
1268.4668,367
1269.4579,376
1270.4487,378
1271.4393,383
1272.4298,391
1273.4200,389
1274.4102,386
1275.4000,383
1276.3896,379
1277.3792,370
1278.3683,357
1279.3573,344
1280.3462,342
1281.3348,332.5
1282.3232,323
1283.3114,325
1284.2994,322
1285.2872,319
1286.2749,318
1287.2622,315
1288.2494,314
1289.2365,313
1290.2233,308
1291.2098,308
1292.1962,313
1293.1824,308
1294.1683,310
1295.1541,315
1296.1396,315
1297.1250,307
1298.1101,310
1299.0951,302
1300.0798,306
1301.0645,302
1302.0487,302
1303.0328,306
1304.0168,304
1305.0005,304
1305.9840,299
1306.9674,307
1307.9506,303
1308.9335,307
1309.9161,301
1310.8987,308
1311.8810,302
1312.8630,303
1313.8450,307
1314.8267,307
1315.8082,311
1316.7894,306
1317.7705,311
1318.7515,304
1319.7322,300
1320.7126,304
1321.6929,309
1322.6730,309
1323.6528,303
1324.6326,303
1325.6121,309
1326.5913,302
1327.5703,303
1328.5492,306
1329.5278,310
1330.5063,313
1331.4846,305
1332.4626,313
1333.4406,307
1334.4182,308
1335.3956,314
1336.3729,307
1337.3500,314
1338.3268,313
1339.3035,312
1340.2799,306
1341.2561,305
1342.2322,318
1343.2080,308
1344.1837,310
1345.1591,309
1346.1344,313
1347.1094,314
1348.0842,313
1349.0588,308
1350.0333,307
1351.0076,305
1351.9816,307
1352.9554,309
1353.9290,311
1354.9025,305
1355.8757,302
1356.8488,307
1357.8215,305
1358.7942,312
1359.7666,309
1360.7388,309
1361.7108,312
1362.6826,314
1363.6543,309
1364.6257,314
1365.5969,316
1366.5680,315
1367.5388,309
1368.5094,310
1369.4799,308
1370.4501,302
1371.4200,302
1372.3899,298
1373.3595,299
1374.3290,302
1375.2982,304
1376.2672,304
1377.2361,297
1378.2047,304
1379.1731,305
1380.1414,304
1381.1094,298
1382.0771,298
1383.0448,303
1384.0122,301
1384.9795,303
1385.9465,301
1386.9133,304
1387.8800,301
1388.8464,297
1389.8126,300
1390.7787,299
1391.7445,305
1392.7102,299
1393.6757,303
1394.6409,297
1395.6060,298
1396.5708,300
1397.5354,303
1398.4999,302
1399.4641,303
1400.4281,301
1401.3920,302
1402.3556,301
1403.3191,301
1404.2823,304
1405.2454,304
1406.2083,304
1407.1709,305
1408.1334,304
1409.0957,304
1410.0577,309
1411.0197,301
1411.9813,304
1412.9427,299
1413.9041,303
1414.8651,301
1415.8260,300
1416.7867,309
1417.7472,305
1418.7075,307
1419.6676,299
1420.6274,302
1421.5872,304
1422.5466,304
1423.5060,305
1424.4651,309
1425.4240,307
1426.3827,306
1427.3412,301
1428.2996,304
1429.2576,309
1430.2156,307
1431.1732,304
1432.1309,306
1433.0881,306
1434.0453,314
1435.0022,310
1435.9590,310
1436.9155,305
1437.8718,305
1438.8280,302
1439.7839,311
1440.7397,308
1441.6953,314
1442.6506,309
1443.6058,310
1444.5608,315
1445.5155,305
1446.4701,304
1447.4246,307
1448.3787,310
1449.3328,307
1450.2865,317
1451.2401,309
1452.1935,313
1453.1467,314
1454.0997,315
1455.0526,316
1456.0051,314
1456.9576,313
1457.9098,309
1458.8619,312
1459.8137,319
1460.7654,310
1461.7168,311
1462.6681,314
1463.6191,314
1464.5699,306
1465.5206,311
1466.4712,314
1467.4214,313
1468.3715,315
1469.3214,319
1470.2711,318
1471.2206,320
1472.1699,320
1473.1190,317
1474.0679,320
1475.0166,317
1475.9651,319
1476.9135,314
1477.8616,319
1478.8096,317
1479.7573,321
1480.7048,324
1481.6522,320
1482.5994,324
1483.5464,325
1484.4932,321
1485.4397,327
1486.3861,330
1487.3323,323
1488.2783,329
1489.2241,333
1490.1697,329
1491.1151,330
1492.0603,330
1493.0054,323
1493.9502,322
1494.8948,322
1495.8392,323
1496.7836,320
1497.7275,322
1498.6714,317
1499.6151,320
1500.5586,314
1501.5018,311
1502.4449,315
1503.3878,315
1504.3306,310
1505.2731,309
1506.2155,307
1507.1576,311
1508.0995,310
1509.0413,312
1509.9828,312
1510.9241,312
1511.8652,314
1512.8063,315
1513.7471,309
1514.6876,303
1515.6279,311
1516.5682,312
1517.5082,312
1518.4480,307
1519.3876,314
1520.3270,303
1521.2662,309
1522.2053,318
1523.1442,311
1524.0828,310
1525.0212,303
1525.9596,311
1526.8976,309
1527.8356,309
1528.7732,303
1529.7107,313
1530.6481,309
1531.5852,312
1532.5221,315
1533.4589,315
1534.3954,317
1535.3317,312
1536.2678,320
1537.2039,309
1538.1396,311
1539.0752,312
1540.0106,318
1540.9458,309
1541.8809,314
1542.8157,321
1543.7502,314
1544.6847,315
1545.6190,317
1546.5530,316
1547.4869,317
1548.4205,321
1549.3540,315
1550.2874,321
1551.2205,315
1552.1533,316
1553.0861,312
1554.0186,316
1554.9509,317
1555.8831,314
1556.8151,317
1557.7468,315
1558.6783,313
1559.6097,312
1560.5409,315
1561.4719,315
1562.4027,311
1563.3334,315
1564.2638,308
1565.1940,317
1566.1240,315
1567.0540,311
1567.9836,315
1568.9131,312
1569.8424,315
1570.7715,310
1571.7004,313
1572.6292,315
1573.5576,311
1574.4860,322
1575.4142,315
1576.3420,313
1577.2699,316
1578.1974,318
1579.1249,311
1580.0520,313
1580.9790,321
1581.9059,313
1582.8325,316
1583.7589,315
1584.6852,315
1585.6112,311
1586.5371,311
1587.4628,309
1588.3883,318
1589.3136,316
1590.2388,315
1591.1637,319
1592.0884,312
1593.0129,309
1593.9374,305
1594.8615,315
1595.7855,321
1596.7094,319
1597.6329,319

##### Extended Information
[Comments]
Sample name,G1-1
Comment,
User,Garrek Stemo
Division
Company,JASCO

[Detailed Information]
Creation date,2025/03/17 13:28

Data array type,Non-linear data array
Horizontal axis,Raman Shift [cm-1]
Vertical axis,Int.
Start,545.376 cm-1
End,1597.63 cm-1
Data points,1024    

[Measurement Information]
Model Name,NRS-5100
Serial Number,C008561420

Measurement Date,2025/03/17 13:28

Exposure,120 sec
Accumulation,1
Center wavenumber,1100.04 cm-1
Z position,16395.5 um
Binning Upper,97
Binning Lower,155
Valid Channel,1 - 1024
Shift Speed,32.25 usecs
Amplitude,Normal
Readout Rate,100kHz at 16-bit
Pre-Amplifier Gain,1x
Mode,Conventional
CCD,DU420_OE,12

Laser wavelength,532.05 nm
Monochromator,Single
Grating,1800 l/mm
Slit,100 x 1000 um
Aperture,d-4000 um
Rejection filter,532.0 nm
Resolution,3.95 cm-1, 1.03 cm-1/pixel
Objective lens,MPLFLN 100 x
BS/DM,BS 30/70
Laser power,0.1 mW
Attenuator,1%(OD2)
Cosmic ray reduction,On
CCD temperature,-69.0 C
Shift,-1.45 cm-1

