TITLE,C2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/12/03
TIME,18:17:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.6195
LASTX, 1597.8412
NPOINTS,    1024
XYDATA
1479.0219,710.5
1479.9695,714
1480.9170,720.5
1481.8644,726.5
1482.8115,725.5
1483.7584,737.5
1484.7052,743.5
1485.6517,762
1486.5980,771.5
1487.5442,797.5
1488.4902,796.5
1489.4359,789.5
1490.3816,776
1491.3269,767.5
1492.2721,755
1493.2172,744
1494.1619,722.5
1495.1066,723.5
1496.0509,717
1496.9951,704
1497.9392,704
1498.8831,704.5
1499.8267,710.5
1500.7701,708.5
1501.7134,696.5
1502.6564,695.5
1503.5992,710
1504.5420,703.5
1505.4845,689.5
1506.4268,691
1507.3688,691.5
1508.3107,694
1509.2524,695.5
1510.1940,696.5
1511.1353,690
1512.0764,695
1513.0173,698
1513.9581,689.5
1514.8987,689.5
1515.8390,688.5
1516.7792,690.5
1517.7191,683
1518.6589,685
1519.5985,689
1520.5378,697
1521.4771,694
1522.4161,685
1523.3550,690.5
1524.2936,702.5
1525.2319,682
1526.1702,690
1527.1083,682.5
1528.0461,689
1528.9838,679.5
1529.9213,686.5
1530.8585,681
1531.7957,687.5
1532.7325,683
1533.6692,689.5
1534.6057,685.5
1535.5421,697.5
1536.4781,695.5
1537.4142,691
1538.3499,686.5
1539.2854,695
1540.2208,692
1541.1560,696.5
1542.0909,692.5
1543.0258,693
1543.9603,690.5
1544.8948,692
1545.8290,698
1546.7629,688
1547.6968,697
1548.6305,695
1549.5640,703.5
1550.4972,696.5
1551.4303,693
1552.3632,694
1553.2958,708.5
1554.2283,699.5
1555.1606,699.5
1556.0928,692
1557.0247,698.5
1557.9564,689
1558.8879,700.5
1559.8192,705.5
1560.7505,699.5
1561.6814,703
1562.6122,703.5
1563.5427,706
1564.4731,693.5
1565.4033,705.5
1566.3334,702.5
1567.2632,702
1568.1929,703.5
1569.1223,704
1570.0515,712.5
1570.9806,703.5
1571.9095,698.5
1572.8383,696
1573.7667,703.5
1574.6951,705
1575.6232,709
1576.5510,699
1577.4788,695
1578.4064,709.5
1579.3337,705.5
1580.2609,705
1581.1879,711
1582.1146,706.5
1583.0413,710
1583.9677,717
1584.8939,709
1585.8199,708
1586.7457,706.5
1587.6714,704
1588.5969,695
1589.5222,703
1590.4473,709
1591.3722,698
1592.2969,705.5
1593.2214,709
1594.1458,697.5
1595.0698,701.5
1595.9938,705
1596.9176,710
1597.8412,707.5

##### Extended Information
[Comments]
Sample name,C2
Comment,
User,Garrek Stemo
Division
Company,ìﬁó«êÊí[â»äwãZèpëÂäwâ@ëÂäw

[Detailed Information]
Creation date,2024/12/03 18:17

Data array type,Non-linear data array
Horizontal axis,Raman Shift [cm-1]
Vertical axis,Int.
Start,545.62 cm-1
End,1597.84 cm-1
Data points,1024    

[Measurement Information]
Model Name,NRS-5100
Serial Number,C008561420

Measurement Date,2024/12/03 18:17

Exposure,370 sec
Accumulation,2
Center wavenumber,1100.27 cm-1
Z position,16999.3 um
Binning Upper,97
Binning Lower,155
Valid Channel,1 - 1024
Shift Speed,16.25 usecs
Amplitude,Normal
Readout Rate,100kHz at 16-bit
Pre-Amplifier Gain,1x
Mode,Conventional
CCD,DU420_OE,12

Laser wavelength,532.05 nm
Monochromator,Single
Grating,1800 l/mm
Slit,50 x 1000 um
Aperture,d-4000 um
Rejection filter,532.0 nm
Resolution,1.97 cm-1, 1.03 cm-1/pixel
Objective lens,MPLFLN 100 x
BS/DM,BS 30/70
Laser power,0.1 mW
Attenuator,1%(OD2)
Cosmic ray reduction,On
CCD temperature,-69.0 C
Shift,-3.20 cm-1

