TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,14:03:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
1286.2749,311
1287.2622,319
1288.2494,311
1289.2365,312
1290.2233,303
1291.2098,307
1292.1962,309
1293.1824,311
1294.1683,312
1295.1541,307
1296.1396,308
1297.1250,306
1298.1101,308
1299.0951,309
1300.0798,313
1301.0645,305
1302.0487,301
1303.0328,302
1304.0168,304
1305.0005,305
1305.9840,298
1306.9674,299
1307.9506,298
1308.9335,299
1309.9161,296
1310.8987,303
1311.8810,295
1312.8630,299
1313.8450,299
1314.8267,304
1315.8082,301
1316.7894,302
1317.7705,306
1318.7515,302
1319.7322,301
1320.7126,302
1321.6929,302
1322.6730,306
1323.6528,297
1324.6326,301
1325.6121,297
1326.5913,296
1327.5703,301
1328.5492,304
1329.5278,301
1330.5063,305
1331.4846,305
1332.4626,304
1333.4406,300
1334.4182,306
1335.3956,303
1336.3729,299
1337.3500,305.5
1338.3268,312
1339.3035,304
1340.2799,304
1341.2561,310
1342.2322,313
1343.2080,307
1344.1837,310
1345.1591,319
1346.1344,309
1347.1094,321
1348.0842,313
1349.0588,307
1350.0333,312
1351.0076,312
1351.9816,305
1352.9554,302
1353.9290,306
1354.9025,307
1355.8757,307
1356.8488,311
1357.8215,303
1358.7942,306
1359.7666,310
1360.7388,310
1361.7108,317
1362.6826,317
1363.6543,314
1364.6257,316
1365.5969,309
1366.5680,308
1367.5388,306
1368.5094,310
1369.4799,305
1370.4501,305
1371.4200,299
1372.3899,298
1373.3595,297
1374.3290,305
1375.2982,302
1376.2672,304
1377.2361,302
1378.2047,299
1379.1731,299
1380.1414,304
1381.1094,300
1382.0771,301
1383.0448,299
1384.0122,302
1384.9795,301
1385.9465,300
1386.9133,304
1387.8800,300
1388.8464,295
1389.8126,302
1390.7787,306
1391.7445,300
1392.7102,304
1393.6757,295
1394.6409,302
1395.6060,301
1396.5708,299
1397.5354,300
1398.4999,295
1399.4641,299
1400.4281,302
1401.3920,305
1402.3556,301
1403.3191,303
1404.2823,303
1405.2454,302
1406.2083,305
1407.1709,300
1408.1334,300
1409.0957,302
1410.0577,302
1411.0197,299
1411.9813,305
1412.9427,303
1413.9041,304
1414.8651,300
1415.8260,299
1416.7867,306
1417.7472,303
1418.7075,308
1419.6676,303
1420.6274,307
1421.5872,300
1422.5466,301
1423.5060,302
1424.4651,308
1425.4240,305
1426.3827,301
1427.3412,308
1428.2996,308
1429.2576,303
1430.2156,306
1431.1732,312
1432.1309,304
1433.0881,303
1434.0453,311
1435.0022,308
1435.9590,307
1436.9155,311
1437.8718,307
1438.8280,302
1439.7839,313
1440.7397,309
1441.6953,310
1442.6506,309
1443.6058,311
1444.5608,308
1445.5155,312
1446.4701,304
1447.4246,314
1448.3787,304
1449.3328,307
1450.2865,309
1451.2401,313
1452.1935,314
1453.1467,310
1454.0997,313
1455.0526,307
1456.0051,311
1456.9576,310
1457.9098,309
1458.8619,311
1459.8137,312
1460.7654,316
1461.7168,318
1462.6681,310
1463.6191,314
1464.5699,316
1465.5206,317
1466.4712,319
1467.4214,311
1468.3715,313
1469.3214,319
1470.2711,318
1471.2206,319
1472.1699,319
1473.1190,316
1474.0679,314
1475.0166,315
1475.9651,318
1476.9135,317
1477.8616,317
1478.8096,318
1479.7573,319
1480.7048,318
1481.6522,325
1482.5994,317
1483.5464,321
1484.4932,321
1485.4397,323
1486.3861,325
1487.3323,324
1488.2783,324
1489.2241,327
1490.1697,327
1491.1151,329
1492.0603,321
1493.0054,328
1493.9502,328
1494.8948,324
1495.8392,321
1496.7836,317
1497.7275,316
1498.6714,319
1499.6151,310
1500.5586,310
1501.5018,311
1502.4449,311
1503.3878,310
1504.3306,309
1505.2731,312
1506.2155,307
1507.1576,309
1508.0995,309
1509.0413,311
1509.9828,311
1510.9241,310
1511.8652,310
1512.8063,306
1513.7471,309
1514.6876,314
1515.6279,307
1516.5682,307
1517.5082,310
1518.4480,302
1519.3876,300
1520.3270,312
1521.2662,308
1522.2053,308
1523.1442,311
1524.0828,312
1525.0212,305
1525.9596,310
1526.8976,307
1527.8356,301
1528.7732,309
1529.7107,310
1530.6481,307
1531.5852,309
1532.5221,309
1533.4589,306
1534.3954,305
1535.3317,311
1536.2678,312
1537.2039,303
1538.1396,306
1539.0752,307
1540.0106,308
1540.9458,310
1541.8809,307
1542.8157,307
1543.7502,314
1544.6847,304
1545.6190,305
1546.5530,317
1547.4869,305
1548.4205,307
1549.3540,307
1550.2874,310
1551.2205,307
1552.1533,311
1553.0861,313
1554.0186,306
1554.9509,315
1555.8831,306
1556.8151,314
1557.7468,315
1558.6783,314
1559.6097,314
1560.5409,315
1561.4719,313
1562.4027,314
1563.3334,310
1564.2638,313
1565.1940,314
1566.1240,311
1567.0540,319
1567.9836,317
1568.9131,311
1569.8424,318
1570.7715,319
1571.7004,316
1572.6292,318
1573.5576,314
1574.4860,312
1575.4142,312
1576.3420,312
1577.2699,313
1578.1974,316
1579.1249,310
1580.0520,319
1580.9790,319
1581.9059,312
1582.8325,315
1583.7589,320
1584.6852,319
1585.6112,316
1586.5371,322
1587.4628,315
1588.3883,317
1589.3136,314
1590.2388,316
1591.1637,310
1592.0884,316
1593.0129,313
1593.9374,316
1594.8615,313
1595.7855,313
1596.7094,314
1597.6329,314

##### Extended Information
[Comments]
Sample name,G1-1
Comment,
User,Garrek Stemo
Division
Company,JASCO

[Detailed Information]
Creation date,2025/03/17 14:03

Data array type,Non-linear data array
Horizontal axis,Raman Shift [cm-1]
Vertical axis,Int.
Start,545.376 cm-1
End,1597.63 cm-1
Data points,1024    

[Measurement Information]
Model Name,NRS-5100
Serial Number,C008561420

Measurement Date,2025/03/17 14:03

Exposure,120 sec
Accumulation,1
Center wavenumber,1100.04 cm-1
Z position,16550.2 um
Binning Upper,97
Binning Lower,155
Valid Channel,1 - 1024
Shift Speed,32.25 usecs
Amplitude,Normal
Readout Rate,100kHz at 16-bit
Pre-Amplifier Gain,1x
Mode,Conventional
CCD,DU420_OE,12

Laser wavelength,532.05 nm
Monochromator,Single
Grating,1800 l/mm
Slit,100 x 1000 um
Aperture,d-4000 um
Rejection filter,532.0 nm
Resolution,3.95 cm-1, 1.03 cm-1/pixel
Objective lens,MPLFLN 100 x
BS/DM,BS 30/70
Laser power,0.1 mW
Attenuator,1%(OD2)
Cosmic ray reduction,On
CCD temperature,-69.0 C
Shift,-1.45 cm-1

