TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,26/02/12
TIME,12:27:47
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1.92847
XUNITS,1/CM
YUNITS,REFLECTANCE
FIRSTX,  998.9459
LASTX, 6001.3891
NPOINTS,    2595
FIRSTY,   100.11481
MAXY,   100.17418
MINY,    99.96335
XYDATA
1508.0612,100.049
1509.9896,100.051
1511.9181,100.055
1513.8466,100.058
1515.7750,100.059
1517.7035,100.058
1519.6320,100.056
1521.5604,100.057
1523.4889,100.06
1525.4174,100.065
1527.3458,100.07
1529.2743,100.072
1531.2028,100.072
1533.1312,100.069
1535.0597,100.063
1536.9882,100.057
1538.9166,100.053
1540.8451,100.054
1542.7736,100.058
1544.7020,100.064
1546.6305,100.069
1548.5590,100.071
1550.4874,100.071
1552.4159,100.069
1554.3444,100.067
1556.2728,100.066
1558.2013,100.068
1560.1298,100.071
1562.0582,100.075
1563.9867,100.077
1565.9152,100.078
1567.8436,100.078
1569.7721,100.077
1571.7006,100.079
1573.6290,100.082
1575.5575,100.086
1577.4860,100.091
1579.4144,100.094
1581.3429,100.095
1583.2714,100.095
1585.1998,100.093
1587.1283,100.091
1589.0568,100.089
1590.9852,100.089
1592.9137,100.089
1594.8422,100.09
1596.7706,100.09
1598.6991,100.091
1600.6276,100.091
1602.5560,100.091
1604.4845,100.091
1606.4130,100.09
1608.3414,100.088
1610.2699,100.085
1612.1984,100.083
1614.1268,100.081
1616.0553,100.08
1617.9838,100.079
1619.9122,100.078
1621.8407,100.076
1623.7692,100.075
1625.6976,100.073
1627.6261,100.071
1629.5546,100.07
1631.4830,100.069
1633.4115,100.068
1635.3400,100.068
1637.2684,100.069
1639.1969,100.07
1641.1254,100.07
1643.0538,100.068
1644.9823,100.063
1646.9108,100.057
1648.8392,100.051
1650.7677,100.048
1652.6962,100.051
1654.6246,100.057
1656.5531,100.065
1658.4816,100.07
1660.4100,100.071
1662.3385,100.07
1664.2670,100.067
1666.1954,100.063
1668.1239,100.059
1670.0524,100.057
1671.9808,100.056
1673.9093,100.057
1675.8378,100.057
1677.7662,100.057
1679.6947,100.057
1681.6232,100.057
1683.5516,100.058
1685.4801,100.062
1687.4086,100.065
1689.3370,100.068
1691.2655,100.068
1693.1940,100.065
1695.1224,100.061
1697.0509,100.056
1698.9794,100.052
1700.9078,100.053
1702.8363,100.059
1704.7648,100.065
1706.6932,100.07
1708.6217,100.073
1710.5502,100.073
1712.4786,100.07
1714.4071,100.067
1716.3356,100.067
1718.2640,100.071
1720.1925,100.076
1722.1210,100.082
1724.0494,100.084
1725.9779,100.083
1727.9064,100.079
1729.8348,100.074
1731.7633,100.069
1733.6918,100.066
1735.6202,100.066
1737.5487,100.068
1739.4772,100.069
1741.4056,100.069
1743.3341,100.068
1745.2626,100.067
1747.1910,100.067
1749.1195,100.068
1751.0480,100.071
1752.9764,100.074
1754.9049,100.077
1756.8334,100.08
1758.7618,100.082
1760.6903,100.082
1762.6188,100.082
1764.5472,100.08
1766.4757,100.077
1768.4042,100.074
1770.3326,100.071
1772.2611,100.069
1774.1896,100.07
1776.1180,100.071
1778.0465,100.074
1779.9750,100.076
1781.9034,100.077
1783.8319,100.077
1785.7604,100.076
1787.6888,100.073
1789.6173,100.072
1791.5458,100.071
1793.4742,100.071
1795.4027,100.073
1797.3312,100.076
1799.2596,100.077
1801.1881,100.079
1803.1166,100.079
1805.0450,100.08
1806.9735,100.08
1808.9020,100.08
1810.8304,100.081
1812.7589,100.082
1814.6874,100.083
1816.6158,100.083
1818.5443,100.083
1820.4728,100.082
1822.4012,100.08
1824.3297,100.077
1826.2582,100.075
1828.1866,100.074
1830.1151,100.076
1832.0436,100.078
1833.9720,100.081
1835.9005,100.082
1837.8290,100.082
1839.7574,100.08
1841.6859,100.079
1843.6144,100.078
1845.5428,100.079
1847.4713,100.081
1849.3998,100.083
1851.3282,100.085
1853.2567,100.086
1855.1852,100.086
1857.1136,100.086
1859.0421,100.085
1860.9706,100.083
1862.8990,100.081
1864.8275,100.08
1866.7560,100.079
1868.6844,100.079
1870.6129,100.08
1872.5414,100.083
1874.4698,100.086
1876.3983,100.089
1878.3268,100.09
1880.2552,100.09
1882.1837,100.089
1884.1122,100.087
1886.0406,100.085
1887.9691,100.083
1889.8976,100.083
1891.8260,100.083
1893.7545,100.085
1895.6830,100.086
1897.6115,100.088
